index,Висування
Самовисування,1742
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",199
"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",151
"політична партія Всеукраїнське об’єднання ""Батьківщина""",147
"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",136
"Політична партія ""Європейська Солідарність""",134
"політична партія Всеукраїнське об’єднання ""Свобода""",120
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",78
"Політична Партія ""ГОЛОС""",68
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",65
"Політична партія ""Об’єднання ""САМОПОМІЧ""",51
Аграрна партія України,51
"Політична Партія ""ПАТРІОТ""",38
"політична партія ""Громадянська позиція""",34
"ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА""",21
"Політична партія ""Сила Людей""",20
"Політична партія ""Народний Рух України""",18
"Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",15
"ПОЛІТИЧНА ПАРТІЯ ""ДЕМОКРАТИЧНА СОКИРА""",10
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКИЙ РУХ ""ХВИЛЯ""",7
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКО-ПОЛІТИЧНА ПЛАТФОРМА НАДІЇ САВЧЕНКО""",7
"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""",5
політична партія Єдиний Центр,5
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ШАРІЯ""",5
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",4
"Політична партія ""ПРАВИЙ СЕКТОР""",4
"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ""",4
"Українська партія ""Єдність""",3
"ПОЛІТИЧНА ПАРТІЯ ""СВІДОМА НАЦІЯ""",3
"політична партія Всеукраїнське об’єднання ""ЧЕРКАЩАНИ""",3
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА СЛАВЕТНА""",3
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІЛЬНИХ ДЕМОКРАТІВ""",2
"ПОЛІТИЧНА ПАРТІЯ ""ДОВІРЯЙ ДІЛАМ""",2
СОЦІАЛІСТИЧНА ПАРТІЯ УКРАЇНИ,2
"Політична партія ""Партія місцевого самоврядування""",2
Партія Пенсіонерів України,2
"ПОЛІТИЧНА ПАРТІЯ ""РОЗВИТОК""",2
"ПОЛІТИЧНА ПАРТІЯ ""СПРАВЖНІ ДІЇ""",2
"ПОЛІТИЧНА ПАРТІЯ ""НАРОДНА ПРАВДА""",1
"ПОЛІТИЧНА ПАРТІЯ ""СТУДЕНТСЬКА ПАРТІЯ УКРАЇНИ""",1
"Політична Партія ""Піратська Партія України""",1
"політична партія ""Мерітократична партія України""",1
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДА І ЗАКОН""",1
"ПОЛІТИЧНА ПАРТІЯ ""ЦИГАНСЬКА ПАРТІЯ УКРАЇНИ""",1
"Політична партія ""Інтернет партія України""",1
політична партія Конгрес Українських Націоналістів,1
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ДАРТА ВЕЙДЕРА"" ",1
"Політична Партія ""Біла Церква разом""",1
Українська партія,1
"ПОЛІТИЧНА ПАРТІЯ ""БДЖОЛА""",1
"ПОЛІТИЧНА ПАРТІЯ ""НАША ЗЕМЛЯ"" ",1
Республіканська Християнська партія,1
"Політична партія ""Рідне місто""",1
