deputat,partia,perc_for,votes_for,tvo,oblast,year,tvo_pres,pres_candidate,pres_perc_for,pres_votes_for,winner,info,proposed,registration,gender,age,birthday,job,city_living,average_age,pop_change,region_ideology,previous,funding,power_status,party_ideology,prop_election_forecast
Бевз Світлана Володимирівна,Самовисування,NA,NA,11,Вінницька область,2019,11,NA,0,0,NA,"народилася 4 листопада 1973 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри електричних станцій та систем, Вінницький національний технічний університет, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",Самовисування,20.06.2019,F,46,4.11.1973,доцент кафедри електричних станцій та систем,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Гижко Андрій Петрович,"Політична партія ""Європейська Солідарність""",NA,NA,11,Вінницька область,2019,11,Порошенко Петро,28.3893832648263,33083,NA,"народився 27 червня 1978 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в селі Березино Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".","Політична партія ""Європейська Солідарність""",24.06.2019,M,41,27.6.1978,перший заступник голови,проживає в селі Березино Вінницького району Вінницької області,41.1,-4.7,grey,0,0,no,orange,NA
Горлачов Ігор Ярославович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",NA,NA,11,Вінницька область,2019,11,Бойко Юрій,5.20882496803481,6070,NA,"народився 31 березня 1984 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".","Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",24.06.2019,M,35,31.3.1984,тимчасово не працює,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,blue,NA
Давиденко Ганна Віталіївна,Самовисування,NA,NA,11,Вінницька область,2019,11,NA,0,0,NA,"народилася 24 травня 1983 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, проректор з наукової та міжнародної діяльності, ВНЗ ""Відкритий міжнародний університет розвитку людини ""Україна"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, самовисування.",Самовисування,24.06.2019,F,36,24.5.1983,проректор з наукової та міжнародної діяльності,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Кістіон Володимир Євсевійович,Самовисування,NA,NA,11,Вінницька область,2019,11,NA,0,0,NA,"народився 31 травня 1965 року в селі Довжок Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Віце-прем’єр-міністр України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",Самовисування,12.06.2019,M,54,31.5.1965,Віце-прем’єр-міністр України,проживає в місті Києві,41.1,-4.7,grey,0,0,no,grey,NA
Ковальов Андрій Євгенійович,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",NA,NA,11,Вінницька область,2019,11,Смешко Ігор,13.5257823964027,15762,NA,"народився 24 сiчня 1977 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник генерального директора, АТ ""Вінницяобленерго"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".","ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",25.06.2019,M,42,24.1.1977,радник генерального директора,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,orange,NA
Кудлаєнко Сергій Володимирович,Самовисування,NA,NA,11,Вінницька область,2019,11,NA,0,0,NA,"народився 13 жовтня 1975 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри менеджменту та адміністрування, Вінницький торговельно-економічний інститут Київського національного торговельно-економічного університету, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",Самовисування,24.06.2019,M,44,13.10.1975,доцент кафедри менеджменту та адміністрування,проживає в селі Агрономічне Вінницького району Вінницької області,41.1,-4.7,grey,1,0,no,grey,NA
Лепей Олена Володимирівна,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",NA,NA,11,Вінницька область,2019,11,Вілкул Олександр,2.05349557636034,2393,NA,"народилася 3 жовтня 1977 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач, Вінницьке відділення навчально-наукового інституту заочного та дистанційного навчання НАВС, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".","Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",25.06.2019,F,42,3.10.1977,завідувач,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,blue,NA
Пашковський Максим Ігорович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",NA,NA,11,Вінницька область,2019,11,Зеленський Володимир,22.6528107917929,26398,NA,"народився 24 березня 1983 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Панчер Солюшнс"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".","ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",25.06.2019,M,36,24.3.1983,директор,проживає в місті Вінниці,41.1,-4.7,grey,0,0,yes,orange,NA
Приходько Анастасія Костянтинівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",NA,NA,11,Вінницька область,2019,11,Тимошенко Юлія,12.7097045472098,14811,NA,"народилася 21 квiтня 1987 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в селі Крюківщина Києво-Святошинського району Київської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""",24.06.2019,F,32,21.4.1987,тимчасово не працює,проживає в селі Крюківщина Києво-Святошинського району Київської області,41.1,-4.7,grey,0,0,no,orange,NA
